Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,120.300003,120.589996,114.529999,115.500000,114.681847,2960400
2018-06-04,115.889999,116.449997,108.930000,111.699997,110.908760,3928000
2018-06-05,111.250000,113.180000,107.779999,111.550003,110.759819,2346400
2018-06-06,111.820000,112.760002,109.820000,112.220001,111.425079,1993200
2018-06-07,113.440002,114.940002,113.120003,114.120003,113.311630,1655700
2018-06-08,113.519997,114.580002,112.440002,113.959999,113.152756,1074100
2018-06-11,114.099998,115.430000,113.089996,113.830002,113.023674,1290200
2018-06-12,114.199997,119.320000,114.000000,118.879997,118.037895,1804800
2018-06-13,118.639999,119.129997,117.790001,118.349998,117.511658,1616000
2018-06-14,119.250000,119.779999,115.650002,115.949997,115.128654,1540800
2018-06-15,115.449997,117.120003,114.300003,115.580002,114.761276,2474900
2018-06-18,114.769997,123.610001,114.510002,122.580002,121.711693,3950400
2018-06-19,120.360001,128.949997,120.360001,127.580002,126.676270,3422700
2018-06-20,128.550003,130.649994,127.400002,129.559998,128.642242,1799700
2018-06-21,128.910004,128.910004,122.089996,123.730003,122.853554,2061300
2018-06-22,127.410004,129.520004,125.370003,125.559998,124.670578,2211900
2018-06-25,125.610001,126.300003,120.459999,121.599998,120.738640,1347400
2018-06-26,121.730003,126.959999,121.650002,126.540001,125.643646,1347000
2018-06-27,129.039993,132.830002,128.639999,130.130005,129.208221,2309000
2018-06-28,130.500000,131.899994,127.849998,130.839996,129.913177,1417400
2018-06-29,130.559998,132.850006,129.660004,131.570007,130.638016,1425700
2018-07-02,130.869995,130.869995,128.100006,129.300003,128.384109,952300
2018-07-03,130.899994,133.179993,129.199997,130.050003,129.128784,701700
2018-07-05,131.779999,133.399994,130.770004,132.000000,131.064972,836300
2018-07-06,131.979996,136.070007,129.949997,134.970001,134.013931,839100
2018-07-09,134.960007,136.899994,134.710007,136.669998,135.701889,1089900
2018-07-10,137.839996,138.250000,132.860001,133.960007,133.011108,2119500
2018-07-11,133.160004,134.830002,129.059998,130.759995,129.833740,1455900
2018-07-12,132.240005,132.240005,128.649994,130.279999,129.357147,837300
2018-07-13,130.029999,132.789993,130.000000,131.339996,130.409637,897000
2018-07-16,128.850006,130.800003,128.410004,129.990005,129.069199,851800
2018-07-17,128.899994,131.649994,128.110001,130.649994,129.724533,507800
2018-07-18,130.369995,131.009995,128.169998,130.589996,129.664963,1009800
2018-07-19,130.429993,132.429993,130.009995,132.089996,131.154327,653600
2018-07-20,133.020004,133.020004,130.000000,131.149994,130.220978,885800
2018-07-23,131.149994,131.589996,129.820007,131.169998,130.240829,702000
2018-07-24,132.259995,134.960007,131.770004,133.449997,132.504700,855600
2018-07-25,133.210007,135.990005,132.059998,134.679993,133.725983,608600
2018-07-26,134.389999,135.899994,134.050003,134.550003,133.596909,556200
2018-07-27,134.289993,136.570007,131.570007,132.339996,131.402527,729600
2018-07-30,133.990005,136.000000,132.500000,133.710007,132.762848,1388800
2018-07-31,133.229996,135.000000,130.080002,131.949997,131.015320,625000
